"Test","AvgMs","MedianMs","MinMs","MaxMs"
"Search (No Cache)","3.4","2","2","17"
"Search (With Cache)","2.7","2","2","11"
"Info (No Cache)","7.15","7","5","11"
"Info (With Cache)","2.2","2","2","3"
"Purchase","26.9","23.5","20","56"
"Cache Invalidation","3.5","3.5","3","4"
